Position;Photo;Name;Details;Academy;Points;Kimono;Category;Gender;Belt;Division
200;https://api.ibjjfdb.com/Athletes/268955/RankingPhoto;Ricardo Luis Briceno;https://ibjjf.com/athletes/ricardo-briceno;Atos Jiu Jitsu USA;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/176199/RankingPhoto;Max Li;https://ibjjf.com/athletes/max-li;Toronto BJJ;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/74259/RankingPhoto;João Felipe Pacheco Cizeski;https://ibjjf.com/athletes/joao-cizeski;Gracie Barra Thousand Oaks;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/70800/RankingPhoto;Wallisson Oliveira Souza;https://ibjjf.com/athletes/wallisson-souza;Campeão United Jiu-Jitsu;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/160992/RankingPhoto;Lasse Mikael Rahkolin;https://ibjjf.com/athletes/lasse-rahkolin;Sigma Jiu-Jitsu;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/272563/RankingPhoto;Pavel Kalesnik;https://ibjjf.com/athletes/pavel-kalesnik;Brasa International;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/432107/RankingPhoto;Féliphe Minier;https://ibjjf.com/athletes/feliphe-minier;Origem Jiu-Jitsu;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/80/RankingPhoto;Alexandre Concieiro Pimentel;https://ibjjf.com/athletes/alexandre-pimentel;Elite Force BJJ;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/338434/RankingPhoto;Haniel Schucman;https://ibjjf.com/athletes/haniel-schucman;Atos Jerusalem;4;ranking-geral-gi;adult;male;black;middle
200;https://api.ibjjfdb.com/Athletes/156643/RankingPhoto;Luiz Rezende Neto;https://ibjjf.com/athletes/luiz-neto-aa25999df3c3;Alliance SP;4;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/177581/RankingPhoto;Igor Joaquim Akira Urata;https://ibjjf.com/athletes/igor-urata;Impacto BJJ;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/177167/RankingPhoto;José Bruno Pereira Matias;https://ibjjf.com/athletes/jose-matias-74806b2b8b0a;Gracie Barra Westchase;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/91401/RankingPhoto;Luiz Eduardo de Oliveira Athayde;https://ibjjf.com/athletes/luiz-athayde;PRM Team;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/28298/RankingPhoto;Arthur de Araujo Detânico;https://ibjjf.com/athletes/arthur-detanico;Athlas Training Team;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/198253/RankingPhoto;Daniel Luran D. R. Bahren;https://ibjjf.com/athletes/daniel-bahren;Team Yuri Carlton;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/131301/RankingPhoto;Guilherme Sampaio M. da Silva;https://ibjjf.com/athletes/guilherme-silva-3c5d1b79331b;Vuk / 617 Brazilian Jiu-jitsu;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/30775/RankingPhoto;João Pedro Bueno Mendes;https://ibjjf.com/athletes/joao-mendes;Atos Jiu-Jitsu;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/26958/RankingPhoto;Jonathan W. Torres;https://ibjjf.com/athletes/jonathan-torres;Essential Jiu-Jitsu;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/58881/RankingPhoto;Antonio Israel Velazquez;https://ibjjf.com/athletes/antonio-velazquez;Sabre Jiu-Jitsu Academy;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/75368/RankingPhoto;Lucas Emanuel da Silva;https://ibjjf.com/athletes/lucas-silva-ce5706eca0d2;Gracie Barra Texas;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/31738/RankingPhoto;Yan Garcia Silveira;https://ibjjf.com/athletes/yan-silveira;Rilion Gracie Trindade;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/56386/RankingPhoto;Samuel Thomas F. Gibson;https://ibjjf.com/athletes/samuel-gibson;Arma;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/23734/RankingPhoto;Daniel de Oliveira Amorim Junior;https://ibjjf.com/athletes/daniel-junior;Gracie Barra Icaraí;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/335900/RankingPhoto;Ian Cole Weingaertner;https://ibjjf.com/athletes/ian-weingaertner;Team Robson Moura;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/134001/RankingPhoto;Alisson Silva de Souza;https://ibjjf.com/athletes/alisson-souza;JFC Almeida JJ;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/498837/RankingPhoto;Marcus Rodrigo Santana de Oliveira;https://ibjjf.com/athletes/marcus-oliveira-e9027a9ebb6e;Ribeiro Jiu-Jitsu Brasil;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/122331/RankingPhoto;Stephen T Mayhew;https://ibjjf.com/athletes/stephen-mayhew;SAS Team USA;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/638937/RankingPhoto;Yuri Hamid Muradi;https://ibjjf.com/athletes/yuri-muradi;Lotus Club;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/246140/RankingPhoto;Erick Victor Martins Ferreira;https://ibjjf.com/athletes/erick-ferreira;Fratres Brazilian Jiu-Jitsu;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/176891/RankingPhoto;Higor da Silva Lima;https://ibjjf.com/athletes/higor-lima;Bluefit Belém;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/63898/RankingPhoto;João Paulo Gonçalves Neto;https://ibjjf.com/athletes/joao-neto-1ed8428a2033;Alliance San Diego;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/120888/RankingPhoto;Justin Tay Sen Han;https://ibjjf.com/athletes/justin-tay;Carpe Diem BJJ Singapore;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/267369/RankingPhoto;Guilherme Thury M. de Azevedo;https://ibjjf.com/athletes/guilherme-azevedo;Gracie Barra Southlake Texas;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/406255/RankingPhoto;Caio Siqueira Rocha;https://ibjjf.com/athletes/caio-rocha-fcfb682c97ec;Gracie Barra Oval - London;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/216667/RankingPhoto;Douglas Soares Luso;https://ibjjf.com/athletes/douglas-luso;Start Doing;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/160521/RankingPhoto;Ricardino Gomes Pires;https://ibjjf.com/athletes/ricardino-pires;ZR Team Cascais;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/480846/RankingPhoto;Kevem Miranda da Silva;https://ibjjf.com/athletes/kevem-silva;Avanthe BJJ;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/77929/RankingPhoto;Sean Donal Whyte;https://ibjjf.com/athletes/sean-whyte;Carlson Gracie International;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/380079/RankingPhoto;Dalison Melo Rogério;https://ibjjf.com/athletes/dalison-rogerio;Associação Pantera House Jiu-jitsu;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/224818/RankingPhoto;Gabriel Custódio dos Santos;https://ibjjf.com/athletes/gabriel-santos-8789efb1e5c3;PSLPB Cicero Costha;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/278043/RankingPhoto;Renan Dantas dos Santos;https://ibjjf.com/athletes/renan-santos-1e549d30d6c4;GFTeam Rockingham;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/152036/RankingPhoto;Yuki Yamaguchi;https://ibjjf.com/athletes/yuuki-yamaguchi;Me, We;3;ranking-geral-gi;adult;male;black;middle
211;https://api.ibjjfdb.com/Athletes/335269/RankingPhoto;Fabian Kaminski;https://ibjjf.com/athletes/fabian-kaminski;Atos JJ International;3;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/140231/RankingPhoto;Adam Jack Wayne;https://ibjjf.com/athletes/adam-wayne;Complete Martial Arts;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/87010/RankingPhoto;Youngam Noh;https://ibjjf.com/athletes/youngam-noh;Jiu-Jitsu Lab;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/38675/RankingPhoto;Caio Felipe Ferreira da Silva;https://ibjjf.com/athletes/caio-silva-34a70a39716f;Gracie Barra Recreio;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/77342/RankingPhoto;Alberto Guzman Gil;https://ibjjf.com/athletes/alberto-gil;Focus Jiu-Jitsu Espanha;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/154334/RankingPhoto;Daniel Ferreira S. Wanderley;https://ibjjf.com/athletes/daniel-wanderley-3687e760171b;Carlson Gracie Clube;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/123504/RankingPhoto;Tim Hinrichs;https://ibjjf.com/athletes/tim-hinrichs;KMR BJJ Kimura Europe;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/176622/RankingPhoto;Nazareno Ferreira da Silva;https://ibjjf.com/athletes/nazareno-silva;Hope Jiu-Jitsu;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/31135/RankingPhoto;Thyago Raffael Cavalcante de Oliveira;https://ibjjf.com/athletes/thyago-oliveira;CheckMat TMTeam;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/128206/RankingPhoto;Marco Antônio de Souza;https://ibjjf.com/athletes/marco-souza-01e5a12a1870;Gracie Barra Kissimmee;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/237923/RankingPhoto;Henrique Camargo Barreto;https://ibjjf.com/athletes/henrique-barreto;Gracie Barra Westchase;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/34826/RankingPhoto;Daniel-Shea Garcia Stolfi;https://ibjjf.com/athletes/daniel-shea-stolfi;Breathe Jiu-Jitsu;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/274539/RankingPhoto;Matheus de Oliveira Alves Lopes;https://ibjjf.com/athletes/matheus-lopes-16e5c44308b7;Companhia Jiu-Jitsu;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/321633/RankingPhoto;Anderson Antunes Macedo;https://ibjjf.com/athletes/anderson-macedo-d625b3c53a42;GF Team Recreio;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/279544/RankingPhoto;Guilherme Augusto Rodrigues Higuchi;https://ibjjf.com/athletes/guilherme-higuchi;Gracie Barra Boca Raton;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/463725/RankingPhoto;Thiago Vezone Britto;https://ibjjf.com/athletes/thiago-britto;Gracie Barra Campinas;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/26603/RankingPhoto;Edward Hohl;https://ibjjf.com/athletes/edward-hohl;Caio Terra Association Brasil;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/190941/RankingPhoto;Joshua Allan Rohler;https://ibjjf.com/athletes/joshua-rohler;Nova União USA;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/247279/RankingPhoto;Gabriel Aromatis Medeiros Costa;https://ibjjf.com/athletes/gabriel-costa-d6a8b5e67654;Gordo Jiu-Jitsu;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/110352/RankingPhoto;Luis Henrique Pereira de Sousa Alencar;https://ibjjf.com/athletes/luis-alencar;Warriors Fighter Brazilian Jiu-Jitsu;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/259776/RankingPhoto;Nadson Feliphe Conceição Alexandria;https://ibjjf.com/athletes/nadson-alexandria;Checkmat Vilas Do Atlântico;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/221928/RankingPhoto;Luís Eduhardo Vidal de Menezes;https://ibjjf.com/athletes/luis-menezes;Gracie Barra Boston;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/123999/RankingPhoto;Renan do Amparo Rodrigues Bezerra;https://ibjjf.com/athletes/renan-bezerra;Alliance SP;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/68123/RankingPhoto;Thyago Dias Ribeiro;https://ibjjf.com/athletes/thyago-ribeiro;Gracie Sports USA;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/204580/RankingPhoto;Rayan Cardoso Chagas;https://ibjjf.com/athletes/rayan-chagas;Brazilian Power Team;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/159914/RankingPhoto;José Pedro Magalhães Pires;https://ibjjf.com/athletes/jose-pires;Focus Jiu-Jitsu - Vitória SC;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/176134/RankingPhoto;José Lucas Costa Da Silva;https://ibjjf.com/athletes/jose-silva-4a2f0a33d4b2;Serao Mixed Martial Arts;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/324741/RankingPhoto;Anthony Martinez;https://ibjjf.com/athletes/anthony-martinez-6efb3dc132e8;Team Tooke Mixed Martial Arts;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/134873/RankingPhoto;Hector Andres Valdez Solis;https://ibjjf.com/athletes/hector-solis;Tribu RT;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/19798/RankingPhoto;Caio Almeida Silva;https://ibjjf.com/athletes/caio-silva;JFC Almeida JJ;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/242359/RankingPhoto;George Stephens;https://ibjjf.com/athletes/george-stephens;Stealth BJJ;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/517987/RankingPhoto;Austin Michael Main;https://ibjjf.com/athletes/austin-main;Team James Clingerman;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/108554/RankingPhoto;Pier Paolo Antonio Chiappe Cotroneo;https://ibjjf.com/athletes/pierpaolo-chiappe;Cohab Chile;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/320796/RankingPhoto;Uilton Moreira Silva;https://ibjjf.com/athletes/uilton-silva;GFTeam Salvador;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/97917/RankingPhoto;Caio Augusto Basso;https://ibjjf.com/athletes/caio-basso;Renzo Gracie Academy;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/198536/RankingPhoto;Loris Bresolin;https://ibjjf.com/athletes/loris-bresolin;Checkmat Europa;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/194552/RankingPhoto;Juan Carlos  Lopez Armendariz;https://ibjjf.com/athletes/juan-armendariz;Alliance San Diego;2;ranking-geral-gi;adult;male;black;middle
244;https://api.ibjjfdb.com/Athletes/296789/RankingPhoto;Angelo Paolo Castillejo Sotelo;https://ibjjf.com/athletes/angelo-castillejo;Fight Sports;2;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/46287/RankingPhoto;Gabriel Castro Vieira Lima;https://ibjjf.com/athletes/gabriel-lima-0a77dc582ab6;Inspirit Jiu-Jitsu Academy;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/241464/RankingPhoto;Andrew Michael Pardee;https://ibjjf.com/athletes/andrew-pardee-224b101ee0f9;Pardee BJJ;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/259095/RankingPhoto;Italo Aprigio da Costa Silva;https://ibjjf.com/athletes/italo-silva-b0cceb6c5020;Nova União CE;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/98340/RankingPhoto;Thales de Oliveira Santos;https://ibjjf.com/athletes/thales-santos;JFC Almeida JJ;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/336333/RankingPhoto;Reed Dennis Wallace Connolly;https://ibjjf.com/athletes/reed-connolly;Clark's University of Martial Arts;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/120555/RankingPhoto;Danilo de Sousa Lemos;https://ibjjf.com/athletes/danilo-lemos-2e6a74e09261;Centro Educacional de Jiu-Jitsu de Araxá;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/139539/RankingPhoto;Chris Gores;https://ibjjf.com/athletes/chris-gores;One Jiu-Jitsu USA;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/119950/RankingPhoto;Nicola Castellano;https://ibjjf.com/athletes/nicola-castellano;Anacoreta Jiu-Jitsu;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/181900/RankingPhoto;Enrique Ivan Chaluja Bendeck;https://ibjjf.com/athletes/enrique-chaluja;Calasans BJJ International;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/162382/RankingPhoto;Bruno Gambim;https://ibjjf.com/athletes/bruno-gambim;Art And Soul Academy;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/206117/RankingPhoto;Pierre Manzo;https://ibjjf.com/athletes/pierre-manzo;Infini Jiu-Jitsu;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/12537/RankingPhoto;Hugo Henrique Gabino Campos;https://ibjjf.com/athletes/hugo-campos;Atos Jiu-Jitsu Rio;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/146458/RankingPhoto;Yuchan Shin;https://ibjjf.com/athletes/yuchan-shin;DreamArt;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/126045/RankingPhoto;Lucas Vinicius de Castro Arantes;https://ibjjf.com/athletes/lucas-arantes-6488479ab77c;Atos Jiu-Jitsu Uberlândia;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/183392/RankingPhoto;Cesar Barbosa Predes Júnior;https://ibjjf.com/athletes/cesar-junior-116a5b3adc65;Alliance Los Angeles;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/196044/RankingPhoto;Jonathan Ricardo Dias;https://ibjjf.com/athletes/jonathan-dias;Gracie Barra Park City;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/519217/RankingPhoto;Pedro Lobo de Freitas;https://ibjjf.com/athletes/pedro-freitas-da6e3dde46b1;Caique Jiu Jitsu;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/412744/RankingPhoto;Henry Clark;https://ibjjf.com/athletes/henry-clark;UACTP;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/156296/RankingPhoto;Desmond W Mcdonald;https://ibjjf.com/athletes/desmond-mcdonald;The Place Of Peace Brazilian Jiu-Jitsu;1;ranking-geral-gi;adult;male;black;middle
281;https://api.ibjjfdb.com/Athletes/315531/RankingPhoto;Christopher Derek White;https://ibjjf.com/athletes/christopher-white-29c0314e1849;Sampa BJJ International;1;ranking-geral-gi;adult;male;black;middle
1;https://api.ibjjfdb.com/Athletes/23871/RankingPhoto;Jansen Gomes Ramos;https://ibjjf.com/athletes/jansen-ramos;CheckMat;303;ranking-geral-gi;adult;male;black;mediumheavy
2;https://api.ibjjfdb.com/Athletes/190961/RankingPhoto;Mikael Rhaillander Teixeira de Arruda;https://ibjjf.com/athletes/mikael-arruda;LGC-Luton Grappling Club;270;ranking-geral-gi;adult;male;black;mediumheavy
3;https://api.ibjjfdb.com/Athletes/49247/RankingPhoto;Gustavo Espindola Batista;https://ibjjf.com/athletes/gustavo-batista;Atos Jiu Jitsu USA;252;ranking-geral-gi;adult;male;black;mediumheavy
4;https://api.ibjjfdb.com/Athletes/261550/RankingPhoto;Lucas Moraes Serrado;https://ibjjf.com/athletes/lucas-serrado;Raiz Jiu-Jitsu;136;ranking-geral-gi;adult;male;black;mediumheavy
5;https://api.ibjjfdb.com/Athletes/311898/RankingPhoto;Francisco de Assis Lemos Lo;https://ibjjf.com/athletes/francisco-lo;Checkmat Dallas - Keiser Girao;127;ranking-geral-gi;adult;male;black;mediumheavy
6;https://api.ibjjfdb.com/Athletes/175028/RankingPhoto;Davi Vetoraci de Menezes;https://ibjjf.com/athletes/davi-menezes;Focus Jiu-Jitsu;115;ranking-geral-gi;adult;male;black;mediumheavy
7;https://api.ibjjfdb.com/Athletes/66620/RankingPhoto;João Lucas Ferreira Braz da Silva;https://ibjjf.com/athletes/joao-silva-ff0b3be1a9c7;Rilion Gracie Texas;108;ranking-geral-gi;adult;male;black;mediumheavy
8;https://api.ibjjfdb.com/Athletes/198934/RankingPhoto;Clay Landon Mayfield;https://ibjjf.com/athletes/clay-mayfield;Pedigo Submission Fighting;107;ranking-geral-gi;adult;male;black;mediumheavy
9;https://api.ibjjfdb.com/Athletes/131238/RankingPhoto;Luiz Victor Gregoriano Pinto Maxnuk;https://ibjjf.com/athletes/luiz-maxnuk;Marcio Andre Jiu-Jitsu Brasil;96;ranking-geral-gi;adult;male;black;mediumheavy
10;https://api.ibjjfdb.com/Athletes/70800/RankingPhoto;Wallisson Oliveira Souza;https://ibjjf.com/athletes/wallisson-souza;Campeão United Jiu-Jitsu;94;ranking-geral-gi;adult;male;black;mediumheavy
11;https://api.ibjjfdb.com/Athletes/153731/RankingPhoto;Enderson Dias de Almeida;https://ibjjf.com/athletes/enderson-almeida;Elementum Jiu-Jitsu;92;ranking-geral-gi;adult;male;black;mediumheavy
12;https://api.ibjjfdb.com/Athletes/65343/RankingPhoto;Welligton Luís Sebastião;https://ibjjf.com/athletes/wellington-sebastiao;Team 6 BJJ;88;ranking-geral-gi;adult;male;black;mediumheavy
12;https://api.ibjjfdb.com/Athletes/23838/RankingPhoto;Rafael dos Anjos Torres;https://ibjjf.com/athletes/rafael-torres;AOJ;88;ranking-geral-gi;adult;male;black;mediumheavy
12;https://api.ibjjfdb.com/Athletes/128487/RankingPhoto;Uanderson Ferreira de Oliveira;https://ibjjf.com/athletes/uanderson-oliveira-ed16b97722eb;Carlson Gracie International;88;ranking-geral-gi;adult;male;black;mediumheavy
15;https://api.ibjjfdb.com/Athletes/124261/RankingPhoto;Vítor Gabriel Comelato Peres;https://ibjjf.com/athletes/vitor-peres;Gracie Barra Westchase;83;ranking-geral-gi;adult;male;black;mediumheavy
16;https://api.ibjjfdb.com/Athletes/23847/RankingPhoto;Horlando de Jesus Monteiro;https://ibjjf.com/athletes/horlando-monteiro;KMR BJJ Kimura International;79;ranking-geral-gi;adult;male;black;mediumheavy
17;https://api.ibjjfdb.com/Athletes/413595/RankingPhoto;Connor Gray Waddell;https://ibjjf.com/athletes/connor-waddell;Champlin Jiu-Jitsu Academy;76;ranking-geral-gi;adult;male;black;mediumheavy
18;https://api.ibjjfdb.com/Athletes/245693/RankingPhoto;Thomas D. Messo;https://ibjjf.com/athletes/thomas-messo;Australian Elite Team;72;ranking-geral-gi;adult;male;black;mediumheavy
19;https://api.ibjjfdb.com/Athletes/267030/RankingPhoto;Matheus Souza Pereira;https://ibjjf.com/athletes/matheus-pereira-4b59f588a71b;Unity Jiu Jitsu;68;ranking-geral-gi;adult;male;black;mediumheavy
19;https://api.ibjjfdb.com/Athletes/250770/RankingPhoto;Joss Roger Ayres;https://ibjjf.com/athletes/joss-ayres;CheckMat Fight Zone London;68;ranking-geral-gi;adult;male;black;mediumheavy
19;https://api.ibjjfdb.com/Athletes/82468/RankingPhoto;Alex Munis dos Santos;https://ibjjf.com/athletes/alex-santos-a7c782a10bee;Soldiers Jiu-Jitsu;68;ranking-geral-gi;adult;male;black;mediumheavy
22;https://api.ibjjfdb.com/Athletes/176199/RankingPhoto;Max Li;https://ibjjf.com/athletes/max-li;Toronto BJJ;67;ranking-geral-gi;adult;male;black;mediumheavy
23;https://api.ibjjfdb.com/Athletes/160215/RankingPhoto;Nolan Patrick Braga Stuart;https://ibjjf.com/athletes/nolan-stuart;Brea Jiu-Jitsu;63;ranking-geral-gi;adult;male;black;mediumheavy
23;https://api.ibjjfdb.com/Athletes/34685/RankingPhoto;Matheus Spirandeli Souza;https://ibjjf.com/athletes/matheus-souza;Alliance SP;63;ranking-geral-gi;adult;male;black;mediumheavy
23;https://api.ibjjfdb.com/Athletes/74800/RankingPhoto;Joshua Gerik Joseph Boodhoo-Cere;https://ibjjf.com/athletes/joshua-boodhoo-cere;Future School of Jiu-Jitsu;63;ranking-geral-gi;adult;male;black;mediumheavy
26;https://api.ibjjfdb.com/Athletes/80381/RankingPhoto;Gabriel Silva Costa;https://ibjjf.com/athletes/gabriel-costa;Fratres Brazilian Jiu-Jitsu;57;ranking-geral-gi;adult;male;black;mediumheavy
26;https://api.ibjjfdb.com/Athletes/191752/RankingPhoto;Rodrigo Correia Silvares;https://ibjjf.com/athletes/rodrigo-silvares;Nova União;57;ranking-geral-gi;adult;male;black;mediumheavy
28;https://api.ibjjfdb.com/Athletes/219669/RankingPhoto;Luiz Felipe Assis dos Santos;https://ibjjf.com/athletes/luiz-santos-2cd0fbbcede2;Alliance JJ;54;ranking-geral-gi;adult;male;black;mediumheavy
28;https://api.ibjjfdb.com/Athletes/48470/RankingPhoto;Angelo Dequan Claiborne;https://ibjjf.com/athletes/angelo-claiborne;Team Lloyd Irvin;54;ranking-geral-gi;adult;male;black;mediumheavy
28;https://api.ibjjfdb.com/Athletes/124216/RankingPhoto;Jhonathan Marques Pessanha;https://ibjjf.com/athletes/jhonathan-pessanha;GF Team;54;ranking-geral-gi;adult;male;black;mediumheavy
28;https://api.ibjjfdb.com/Athletes/49609/RankingPhoto;Pablo Lavaselli;https://ibjjf.com/athletes/pablo-lavaselli;AOJ;54;ranking-geral-gi;adult;male;black;mediumheavy
28;https://api.ibjjfdb.com/Athletes/150750/RankingPhoto;Jonatham Gabriel da Silva;https://ibjjf.com/athletes/jonatham-silva;CT Simas BJJ;54;ranking-geral-gi;adult;male;black;mediumheavy
